Dim,Skip-gram?,maxIter,Embedding_BuiltTime,FullTime,V_measure,
20,cbow,5,2.72916388512,2846.53537774,0.437164120955,
20,cbow,5,6.51990580559,2890.41369796,0.440194360993,
20,cbow,5,4.12674713135,2736.44332218,0.429899970369,
20,cbow,5,3.28506493568,2500.81951594,0.438023506375,
20,cbow,5,2.5602619648,2463.3274169,0.434717421149,
20,skip-gram,5,2.6155500412,2476.38616514,0.436836493338,
20,skip-gram,5,2.66013002396,2500.46482301,0.433988154177,
20,skip-gram,5,2.44392609596,2498.92207623,0.434030101745,
20,skip-gram,5,4.2270860672,2486.28173113,0.433983277766,
20,skip-gram,5,2.50048804283,2469.92016888,0.435382889338,
40,cbow,5,2.65297889709,2497.80807805,0.45244124333,
40,cbow,5,2.59810781479,2555.28996587,0.461965371955,
40,cbow,5,2.53110313416,2586.47043109,0.458163141626,
40,cbow,5,2.39458990097,2559.64555478,0.460998669302,
40,cbow,5,3.23481202126,2913.66659307,0.453386052113,
40,skip-gram,5,5.51518702507,2788.674716,0.452315500888,
40,skip-gram,5,3.83853602409,3111.28747511,0.44861363035,
40,skip-gram,5,4.43710112572,3022.51775503,0.460748519138,
40,skip-gram,5,3.45589900017,2792.47695208,0.460069859494,
40,skip-gram,5,2.81714391708,2742.06279993,0.452235197341,
70,cbow,5,3.81517696381,2829.29914999,0.473102949718,
70,cbow,5,2.945551157,2821.61199522,0.462862665247,
70,cbow,5,2.82101297379,2931.90611601,0.470570238145,
70,cbow,5,2.75687980652,2843.01087093,0.468216144452,
70,cbow,5,2.80877399445,2820.54645205,0.465557326907,
70,skip-gram,5,2.76385188103,2875.31049991,0.472683454461,
70,skip-gram,5,3.77904486656,2951.92430186,0.466952924055,
70,skip-gram,5,3.57618284225,2919.01665974,0.465332624362,
70,skip-gram,5,3.46511483192,2893.38722873,0.468701889126,
70,skip-gram,5,3.13944292068,2874.62383699,0.471713679977,
20,cbow,2,2.75204896927,1238.07865095,0.411906230268,
20,cbow,2,3.23213005066,1263.58548808,0.412654601789,
20,cbow,2,2.78378391266,1247.62982893,0.411773268985,
20,cbow,2,3.03143000603,1275.51760983,0.412636744635,
20,cbow,2,2.96488499641,1362.12829304,0.413145511911,
20,skip-gram,2,3.83992600441,1354.77037096,0.413056603048,
20,skip-gram,2,3.50238490105,1401.97832894,0.414901103877,
20,skip-gram,2,2.96988201141,1397.281322,0.413466545476,
20,skip-gram,2,4.58644008636,1360.4095602,0.412539608666,
20,skip-gram,2,3.35678386688,1294.80024886,0.415993295125,
40,cbow,2,3.663615942,1490.47704887,0.44391766164,
40,cbow,2,3.89103794098,1591.80068088,0.438793601998,
40,cbow,2,4.23056292534,1852.91923594,0.436508369132,
40,cbow,2,4.17907500267,1463.15914989,0.439437926916,
40,cbow,2,4.51327300072,1331.29273987,0.436690668695,
40,skip-gram,2,3.55517697334,1406.38108706,0.440523587166,
40,skip-gram,2,2.94505500793,1357.46227098,0.44111603687,
40,skip-gram,2,3.04470586777,1362.45709991,0.435700478182,
40,skip-gram,2,3.24490809441,1371.07022715,0.440965057979,
40,skip-gram,2,3.45688509941,1344.32838297,0.442616494113,
70,cbow,2,4.24620604515,1701.9797852,0.456374428994,
70,cbow,2,9.06193804741,2630.33669996,0.460671512482,
70,cbow,2,7.49953484535,1568.32817888,0.452105264824,
70,cbow,2,3.99298095703,1754.74155378,0.452891995572,
70,cbow,2,5.12429094315,1814.95573187,0.451834170369,
