ExtraDim,Dim,Skip-gram?,Embedding_BuiltTime,Matrix_SolvingTime,Covar_estimateTime,FullTime,NegRatio,V_measure
1,70,cbow,2.8396999836,342.289151907,302.569962025,647.698813915,0.497584541063,0.276921387274,
1,70,cbow,3.41920900345,337.283199072,302.52301693,643.225425005,0.498004620878,0.318238078668,
1,70,cbow,3.12720894814,356.662126064,304.214324951,664.003659964,0.51690821256,0.27167019284,
1,70,cbow,3.26371717453,322.638007164,277.425541878,603.327266216,0.499474900231,0.272265725592,
1,70,cbow,2.74292588234,281.405733824,264.733747005,548.882406712,0.501155219492,0.278215107831,
1,70,skip-gram,2.53684711456,271.608380079,255.08691597,529.232143164,0.495694181895,0.262355931239,
1,70,skip-gram,2.51840901375,271.280094147,267.064548016,540.863051176,0.498424700693,0.225209119405,
1,70,skip-gram,3.20465803146,268.671238184,253.289710045,525.16560626,0.506616257089,0.290315983715,
1,70,skip-gram,2.53215909004,264.411266088,253.453148842,520.39657402,0.491493383743,0.323468715754,
1,70,skip-gram,2.32117509842,274.170339823,252.589315891,529.080830812,0.498634740601,0.264168415948,
5,74,cbow,2.53814482689,318.882472992,290.509499073,611.930116892,0.501155219492,0.295508101105,
5,74,cbow,2.59208202362,310.780223131,277.481631994,590.853937149,0.502625498845,0.26672947017,
5,74,cbow,2.94751906395,374.837453127,273.160117865,650.945090055,0.503465658475,0.31244423392,
5,74,cbow,3.26780295372,347.869143963,267.922586918,619.059533834,0.498214660786,0.335297621692,
5,74,cbow,3.4798579216,627.493487835,313.193332911,944.166678667,0.495694181895,0.291536686628,
5,74,skip-gram,3.58470106125,411.487161875,293.015696049,708.087558985,0.490233144297,0.252011901766,
5,74,skip-gram,3.69646310806,454.348669052,290.587263823,748.632395983,0.509556815795,0.286687178067,
5,74,skip-gram,3.141299963,334.912608147,268.584190845,606.638098955,0.482251627809,0.315142676803,
5,74,skip-gram,2.81899118423,424.788131952,304.600463867,732.207587004,0.493803822726,0.26813505199,
5,74,skip-gram,4.36145210266,435.745776176,300.565908909,740.673137188,0.505356017643,0.321644379329,
10,79,cbow,4.21144390106,477.76710391,345.121932983,827.100480795,0.501575299307,0.271812759323,
10,79,cbow,5.28709793091,453.143041134,325.825304031,784.255443096,0.498634740601,0.305411057549,
10,79,cbow,3.76777601242,477.895072937,315.861768007,797.524616957,0.50388573829,0.277168013223,
10,79,cbow,3.35029411316,388.303884029,258.413680792,650.067858934,0.50220541903,0.30634565248,
10,79,cbow,2.70840597153,389.594726801,299.948442936,692.251575708,0.498844780508,0.288241182625,
10,79,skip-gram,3.45633482933,394.186388969,294.005734921,691.648458719,0.500315059861,0.261302950016,
10,79,skip-gram,4.102175951,438.012794971,267.375864029,709.490834951,0.494013862634,0.319003869777,
10,79,skip-gram,2.70047593117,391.842844009,268.168211937,662.711531878,0.501575299307,0.274972116022,
10,79,skip-gram,2.85079908371,385.866147995,259.167356968,647.884304047,0.500525099769,0.256376524349,
10,79,skip-gram,2.61503195763,376.842405081,260.095537901,639.552974939,0.510607015333,0.287393994266,
20,89,cbow,2.69010591507,516.708081961,261.246529102,780.644716978,0.499264860323,0.273342269494,
