
ExtraDim,Dim,Skip-gram?,Embedding_BuiltTime,Matrix_SolvingTime,Covar_estimateTime,FullTime,NegRatio,V_measure

1,70,cbow,3.07855219841,328.055643606,290.293318558,621.427514362,0.502625498845,0.283462098441
1,70,skip-gram,2.62264966965,270.028263664,256.296727753,528.947641086,0.498172652804,0.273103633212
5,74,cbow,2.96508135796,395.97255621,284.453433752,683.391071319,0.500231043899,0.300303222703
5,74,skip-gram,3.52058148384,412.25646944,291.470704699,707.247755623,0.496240285654,0.288724237591
10,79,cbow,3.86500358582,437.340765762,309.03422575,750.239995098,0.501029195547,0.28979573304
10,79,skip-gram,3.14496355057,397.350116205,269.762541151,670.257620907,0.501407267381,0.279809890886
20,89,cbow,2.88517260551,647.959090758,272.965550041,923.809813403,0.501407267381,0.283678494326
20,89,skip-gram,3.72062044144,661.44509201,306.406256342,971.571968794,0.501449275362,0.282902026683
40,109,cbow,3.74503798485,1275.85021305,285.284883165,1564.8801342,0.49447595043,0.300983169297
40,109,skip-gram,3.29484415054,1013.19215245,274.513621473,1291.00061808,0.50165931527,0.292150599042
80,149,cbow,3.17580280304,2123.12473941,282.71783843,2409.01838064,0.497458517118,0.28073830772
80,149,skip-gram,2.94099340439,2092.08929052,275.776965761,2370.80724969,0.498970804453,0.29260646421
