
ExtraDim,Dim,Skip-gram?,Embedding_BuiltTime,Matrix_SolvingTime,Covar_estimateTime,FullTime,NegRatio,V_measure

1,70,cbow,0.253927553075,25.735719319,16.2046122492,41.3967870488,0.00725048512326,0.0175732092485
1,70,skip-gram,0.302005757599,3.3049303252,5.44577996251,6.7749570322,0.00494625029347,0.0326255795577
5,74,cbow,0.368333276847,117.951843715,16.1992075817,131.806672829,0.00288787687314,0.0227993610394
5,74,skip-gram,0.525012853957,41.1417259683,12.5065846487,52.107477501,0.00998129442386,0.026674067704
10,79,cbow,0.866541436057,40.5288849094,29.2433557501,67.3758622586,0.0020172580892,0.0141633433304
10,79,skip-gram,0.561807284277,21.1954731152,12.6623807967,26.4465388189,0.00531596026742,0.0223996437411
20,89,cbow,0.275060924047,247.645864987,18.1862176723,265.660368869,0.00360730929502,0.0107038932998
20,89,skip-gram,0.381110594906,22.8053101779,5.86619802364,22.6381524492,0.00533947720062,0.01709351839
40,109,cbow,0.484180241879,384.661224093,17.7863622337,398.522015095,0.00437649788358,0.0248727840833
40,109,skip-gram,0.454861605401,263.816256386,3.99639299411,264.262762261,0.00263882357077,0.0152670798719
80,149,cbow,0.227444406337,19.9950097555,3.01969142395,20.6170222951,0.00418522633694,0.0173113538988
80,149,skip-gram,0.478221640421,30.0876057976,28.7018805433,34.3074290048,0.00277570737857,0.0220069538592
